21
0 1 2
1 0 2
0 2 6
2 0 6
0 3 4
3 0 4
0 9 9
9 0 9
1 3 2
3 1 2
1 5 8
5 1 8
1 9 9
9 1 9
2 3 3
3 2 3
2 4 9
4 2 9
3 4 9
4 3 9
3 5 9
5 3 9
4 5 8
5 4 8
4 6 18
6 4 18
5 6 10
6 5 10
5 8 9
8 5 9
5 9 7
9 5 7
6 7 4
7 6 4
6 8 3
8 6 3
7 8 1
8 7 1
7 9 4
9 7 4
8 9 5
9 8 5
10 11 2
11 10 2
10 14 3
14 10 3
11 12 9
12 11 9
11 13 5
13 11 5
11 14 8
14 11 8
12 13 8
13 12 8
13 14 4
14 13 4
15 16 6
16 15 6
15 17 3
17 15 3
15 20 9
20 15 9
16 17 5
17 16 5
17 18 4
18 17 4
17 19 2
19 17 2
17 20 8
20 17 8
18 19 4
19 18 4
19 20 4
20 19 4.
